令和4年1月1日住民基本台帳年齢階級別人口（都道府県別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
120006,千葉県,女,3166690 ,107097 ,122314 ,130206 ,135853 ,157305 ,161334 ,163809 ,183853 ,203120 ,244755 ,241080 ,188988 ,171802 ,189101 ,248923 ,191127 ,154117 ,102001 ,50888 ,16225 ,2761 
130001,東京都,計,13794933 ,505605 ,544772 ,530720 ,530006 ,766801 ,947448 ,924791 ,980615 ,1029803 ,1150172 ,1126584 ,895801 ,718072 ,657702 ,816881 ,605160 ,506169 ,348393 ,157180 ,44981 ,7181 
130001,東京都,男,6775557 ,258957 ,278316 ,272593 ,270230 ,382206 ,476258 ,468279 ,499616 ,524444 ,582287 ,571901 ,460521 ,364833 ,325538 ,388661 ,266187 ,204822 ,124911 ,44703 ,9357 ,896 
130001,東京都,女,7019376 ,246648 ,266456 ,258127 ,259776 ,384595 ,471190 ,456512 ,480999 ,505359 ,567885 ,554683 ,435280 ,353239 ,332164 ,428220 ,338973 ,301347 ,223482 ,112477 ,35624 ,6285 
140007,神奈川県,計,9215210 ,326174 ,371989 ,391584 ,405675 ,489078 ,514743 ,508749 ,566595 ,633739 ,765070 ,778978 ,616363 ,505709 ,488671 ,626370 ,467665 ,379603 ,239069 ,104931 ,29805 ,4584 
140007,神奈川県,男,4590365 ,167260 ,190857 ,200735 ,208315 ,250122 ,267574 ,264235 ,293449 ,326032 ,392909 ,403273 ,322041 ,259365 ,241980 ,297445 ,211484 ,163698 ,91142 ,31483 ,6347 ,588 
140007,神奈川県,女,4624845 ,158914 ,181132 ,190849 ,197360 ,238956 ,247169 ,244514 ,273146 ,307707 ,372161 ,375705 ,294322 ,246344 ,246691 ,328925 ,256181 ,215905 ,147927 ,73448 ,23458 ,3996 
150002,新潟県,計,2188469 ,68799 ,83555 ,91473 ,95762 ,94205 ,90936 ,101073 ,119176 ,136633 ,157726 ,150499 ,134848 ,142290 ,160585 ,189567 ,121285 ,107854 ,81877 ,43871 ,14075 ,2185 
150002,新潟県,男,1063921 ,35162 ,42844 ,47058 ,49090 ,49469 ,47760 ,52223 ,61313 ,70438 ,80370 ,76618 ,67653 ,71132 ,79051 ,91367 ,54781 ,44589 ,28369 ,11758 ,2551 ,260 
150002,新潟県,女,1124548 ,33637 ,40711 ,44415 ,46672 ,44736 ,43176 ,48850 ,57863 ,66195 ,77356 ,73881 ,67195 ,71158 ,81534 ,98200 ,66504 ,63265 ,53508 ,32113 ,11524 ,1925 
160008,富山県,計,1037319 ,33600 ,38906 ,42736 ,46618 ,48461 ,46173 ,47104 ,54533 ,63301 ,81349 ,75432 ,61617 ,61427 ,67842 ,91769 ,62489 ,50030 ,37377 ,19409 ,6150 ,957 
160008,富山県,男,504246 ,17379 ,19927 ,22031 ,24079 ,25653 ,24796 ,25077 ,28410 ,32734 ,41864 ,38373 ,30672 ,30155 ,32676 ,43218 ,27954 ,20497 ,12498 ,5012 ,1109 ,110 
160008,富山県,女,533073 ,16221 ,18979 ,20705 ,22539 ,22808 ,21377 ,22027 ,26123 ,30567 ,39485 ,37059 ,30945 ,31272 ,35166 ,48551 ,34535 ,29533 ,24879 ,14397 ,5041 ,847 
170003,石川県,計,1124501 ,40061 ,46564 ,49745 ,53509 ,58112 ,52639 ,54437 ,61301 ,70097 ,88175 ,80305 ,66736 ,66603 ,70254 ,94311 ,62759 ,48389 ,35101 ,18584 ,5838 ,981 
170003,石川県,男,545337 ,20531 ,23952 ,25316 ,27598 ,30887 ,27602 ,27904 ,31385 ,35605 ,44967 ,40173 ,32778 ,32413 ,33763 ,44360 ,28259 ,19936 ,11928 ,4787 ,1059 ,134 
170003,石川県,女,579164 ,19530 ,22612 ,24429 ,25911 ,27225 ,25037 ,26533 ,29916 ,34492 ,43208 ,40132 ,33958 ,34190 ,36491 ,49951 ,34500 ,28453 ,23173 ,13797 ,4779 ,847 
180009,福井県,計,767561 ,27746 ,31878 ,35171 ,36553 ,36573 ,35367 ,37601 ,42273 ,46829 ,55808 ,52574 ,46507 ,48184 ,51057 ,63634 ,40245 ,33808 ,26563 ,14123 ,4408 ,646 
180009,福井県,男,373811 ,14234 ,16470 ,18047 ,18740 ,18992 ,18797 ,19516 ,21608 ,24027 ,28438 ,26319 ,23056 ,23664 ,24901 ,30601 ,18191 ,14012 ,9318 ,3957 ,835 ,77 
180009,福井県,女,393750 ,13512 ,15408 ,17124 ,17813 ,17581 ,16570 ,18085 ,20665 ,22802 ,27370 ,26255 ,23451 ,24520 ,26156 ,33033 ,22054 ,19796 ,17245 ,10166 ,3573 ,569 
190004,山梨県,計,816340 ,27276 ,31326 ,34157 ,38290 ,39790 ,37165 ,38351 ,42846 ,48117 ,58861 ,60383 ,53774 ,52613 ,56113 ,65566 ,45177 ,38193 ,27066 ,15355 ,4958 ,854 
190004,山梨県,男,400782 ,13825 ,15985 ,17522 ,19751 ,21119 ,19801 ,20065 ,22208 ,24602 ,30099 ,30728 ,27257 ,26226 ,27733 ,31528 ,20693 ,16128 ,9837 ,4423 ,1073 ,118 
190004,山梨県,女,415558 ,13451 ,15341 ,16635 ,18539 ,18671 ,17364 ,18286 ,20638 ,23515 ,28762 ,29655 ,26517 ,26387 ,28380 ,34038 ,24484 ,22065 ,17229 ,10932 ,3885 ,736 
200000,長野県,計,2056970 ,69166 ,82623 ,90808 ,95829 ,91793 ,88400 ,93487 ,107700 ,126228 ,153063 ,148015 ,126635 ,125729 ,134565 ,166467 ,120110 ,100739 ,75104 ,43314 ,14483 ,2236 
200000,長野県,男,1006127 ,35375 ,42467 ,46518 ,49162 ,47979 ,46797 ,48608 ,55028 ,64724 ,78234 ,75360 ,63580 ,62448 ,66611 ,80163 ,55092 ,43348 ,28069 ,13018 ,3101 ,286 
200000,長野県,女,1050843 ,33791 ,40156 ,44290 ,46667 ,43814 ,41603 ,44879 ,52672 ,61504 ,74829 ,72655 ,63055 ,63281 ,67954 ,86304 ,65018 ,57391 ,47035 ,30296 ,11382 ,1950 
210005,岐阜県,計,1996682 ,67463 ,82465 ,90943 ,95975 ,99005 ,90373 ,94361 ,107852 ,122531 ,150731 ,145476 ,122713 ,120294 ,128436 ,164150 ,113045 ,94732 ,63993 ,31322 ,9359 ,1386 
210005,岐阜県,男,973512 ,34430 ,42311 ,46741 ,48882 ,50950 ,47326 ,49114 ,55383 ,62918 ,76824 ,73166 ,60797 ,58559 ,61772 ,77995 ,51402 ,40343 ,23492 ,9064 ,1863 ,159 
210005,岐阜県,女,1023170 ,33033 ,40154 ,44202 ,47093 ,48055 ,43047 ,45247 ,52469 ,59613 ,73907 ,72310 ,61916 ,61735 ,66664 ,86155 ,61643 ,54389 ,40501 ,22258 ,7496 ,1227 
220001,静岡県,計,3658375 ,122230 ,148386 ,162758 ,167277 ,169717 ,168784 ,180707 ,207119 ,230255 ,276961 ,271477 ,226394 ,223908 ,237330 ,294868 ,206443 ,171956 ,114919 ,56728 ,17379 ,2704 
220001,静岡県,男,1808923 ,62723 ,76400 ,83372 ,86315 ,89268 ,90624 ,95311 ,107730 ,119100 ,142897 ,139212 ,115170 ,112111 ,116788 ,141440 ,94377 ,73782 ,42184 ,16292 ,3488 ,317 
220001,静岡県,女,1849452 ,59507 ,71986 ,79386 ,80962 ,80449 ,78160 ,85396 ,99389 ,111155 ,134064 ,132265 ,111224 ,111797 ,120542 ,153428 ,112066 ,98174 ,72735 ,40436 ,13891 ,2387 
230006,愛知県,計,7528519 ,295169 ,333520 ,350765 ,355331 ,411678 ,426101 ,429314 ,467704 ,505278 ,606813 ,585174 ,462723 ,402132 ,399468 ,514343 ,379107 ,306013 ,188876 ,82121 ,23442 ,3373 
230006,愛知県,男,3768579 ,151379 ,171143 ,180069 ,182478 ,215868 ,226369 ,227769 ,245032 ,263283 ,314401 ,302757 ,238231 ,202958 ,196357 ,243346 ,174037 ,132764 ,71237 ,23942 ,4743 ,377 
230006,愛知県,女,3759940 ,143790 ,162377 ,170696 ,172853 ,195810 ,199732 ,201545 ,222672 ,241995 ,292412 ,282417 ,224492 ,199174 ,203111 ,270997 ,205070 ,173249 ,117639 ,58179 ,18699 ,2996 
240001,三重県,計,1784968 ,60689 ,72389 ,79638 ,83293 ,87603 ,85031 ,88168 ,98845 ,109501 ,135592 ,131405 ,111566 ,107266 ,112685 ,141466 ,99823 ,83332 ,58391 ,28441 ,8531 ,1225 
240001,三重県,男,874651 ,31261 ,37116 ,40757 ,42536 ,45571 ,45867 ,46485 ,51375 ,56309 ,69378 ,66523 ,55589 ,52531 ,54349 ,66807 ,45501 ,35371 ,21225 ,8297 ,1671 ,123 
240001,三重県,女,910317 ,29428 ,35273 ,38881 ,40757 ,42032 ,39164 ,41683 ,47470 ,53192 ,66214 ,64882 ,55977 ,54735 ,58336 ,74659 ,54322 ,47961 ,37166 ,20144 ,6860 ,1102 
250007,滋賀県,計,1415222 ,56304 ,66146 ,70016 ,71128 ,73968 ,70383 ,74992 ,85335 ,94949 ,110901 ,102534 ,84256 ,80042 ,83490 ,103181 ,69482 ,54912 ,37583 ,18938 ,5757 ,879 
250007,滋賀県,男,698857 ,29021 ,33911 ,35983 ,36852 ,38878 ,37379 ,39053 ,43569 ,47928 ,56260 ,51860 ,41959 ,39238 ,40655 ,49364 ,32258 ,24006 ,13985 ,5435 ,1141 ,103 
250007,滋賀県,女,716365 ,27283 ,32235 ,34033 ,34276 ,35090 ,33004 ,35939 ,41766 ,47021 ,54641 ,50674 ,42297 ,40804 ,42835 ,53817 ,37224 ,30906 ,23598 ,13503 ,4616 ,776 
260002,京都府,計,2511494 ,86044 ,99998 ,107337 ,115259 ,135627 ,123836 ,123258 ,139880 ,158910 ,197534 ,188919 ,155116 ,139521 ,144757 ,204046 ,143598 ,116989 ,79256 ,37817 ,11720 ,2004 
260002,京都府,男,1202274 ,44108 ,51404 ,55075 ,59017 ,69190 ,61983 ,61635 ,69191 ,78658 ,97735 ,93499 ,75841 ,67865 ,68467 ,93818 ,63497 ,49033 ,28930 ,10832 ,2241 ,219 
260002,京都府,女,1309220 ,41936 ,48594 ,52262 ,56242 ,66437 ,61853 ,61623 ,70689 ,80252 ,99799 ,95420 ,79275 ,71656 ,76290 ,110228 ,80101 ,67956 ,50326 ,26985 ,9479 ,1785 
270008,大阪府,計,8800753 ,316984 ,350101 ,372244 ,393080 ,481816 ,494768 ,483313 ,517544 ,565398 ,709762 ,709702 ,556882 ,465262 ,471406 ,648031 ,479935 ,403548 ,246017 ,102431 ,28108 ,4394 
270008,大阪府,男,4237852 ,162354 ,179060 ,190534 ,200841 ,241211 ,246128 ,241465 ,258226 ,281211 ,352362 ,353198 ,276266 ,229326 ,226399 ,299006 ,210111 ,167577 ,88719 ,28129 ,5254 ,464 
270008,大阪府,女,4562901 ,154630 ,171041 ,181710 ,192239 ,240605 ,248640 ,241848 ,259318 ,284187 ,357400 ,356504 ,280616 ,235936 ,245007 ,349025 ,269824 ,235971 ,157298 ,74302 ,22854 ,3930 
280003,兵庫県,計,5488605 ,195975 ,229402 ,246277 ,254387 ,274858 ,258100 ,271238 ,310087 ,345655 ,430430 ,422082 ,347785 ,319896 ,332176 ,428218 ,301443 ,247466 ,167185 ,78928 ,23409 ,3606 
280003,兵庫県,男,2627723 ,100251 ,117667 ,126118 ,130362 ,138967 ,129372 ,135959 ,154198 ,170372 ,211996 ,207583 ,169355 ,154391 ,159030 ,198999 ,133187 ,103019 ,59866 ,22038 ,4601 ,390 
280003,兵庫県,女,2860882 ,95724 ,111735 ,120159 ,124025 ,135891 ,128728 ,135279 ,155889 ,175283 ,218434 ,214499 ,178430 ,165505 ,173146 ,229219 ,168256 ,144447 ,107319 ,56890 ,18808 ,3216 
290009,奈良県,計,1335378 ,43475 ,52795 ,57798 ,62990 ,64623 ,56418 ,60348 ,70092 ,79329 ,99652 ,100075 ,84824 ,80223 ,87441 ,115128 ,81531 ,67264 ,43158 ,20652 ,6382 ,968 
290009,奈良県,男,633250 ,22323 ,26938 ,29440 ,32258 ,32564 ,27771 ,29824 ,34328 ,38601 ,48752 ,48290 ,40640 ,38155 ,41113 ,52914 ,36392 ,29286 ,16283 ,5913 ,1252 ,105 
290009,奈良県,女,702128 ,21152 ,25857 ,28358 ,30732 ,32059 ,28647 ,30524 ,35764 ,40728 ,50900 ,51785 ,44184 ,42068 ,46328 ,62214 ,45139 ,37978 ,26875 ,14739 ,5130 ,863 
300004,和歌山県,計,935084 ,29998 ,35886 ,38940 ,41093 ,41661 ,38986 ,42046 ,48407 ,53092 ,67462 ,67160 ,59870 ,59994 ,63929 ,82010 ,56466 ,48518 ,35073 ,17734 ,5601 ,825 
300004,和歌山県,男,442960 ,15437 ,18328 ,19928 ,21099 ,21407 ,20110 ,21341 ,24360 ,26397 ,33613 ,32676 ,28288 ,28736 ,30606 ,38166 ,24664 ,19709 ,11932 ,4881 ,1033 ,83 
300004,和歌山県,女,492124 ,14561 ,17558 ,19012 ,19994 ,20254 ,18876 ,20705 ,24047 ,26695 ,33849 ,34484 ,31582 ,31258 ,33323 ,43844 ,31802 ,28809 ,23141 ,12853 ,4568 ,742 
310000,鳥取県,計,551806 ,20183 ,23386 ,24386 ,25615 ,23870 ,22421 ,25545 ,30954 ,34385 ,38729 ,35010 ,32231 ,35848 ,40576 ,46535 ,29129 ,25691 ,20705 ,11761 ,4001 ,648 
310000,鳥取県,男,264259 ,10409 ,11993 ,12499 ,13022 ,12432 ,11367 ,12986 ,15827 ,17493 ,19683 ,17496 ,15707 ,17500 ,19745 ,22247 ,12878 ,10117 ,7013 ,3001 ,724 ,64 
310000,鳥取県,女,287547 ,9774 ,11393 ,11887 ,12593 ,11438 ,11054 ,12559 ,15127 ,16892 ,19046 ,17514 ,16524 ,18348 ,20831 ,24288 ,16251 ,15574 ,13692 ,8760 ,3277 ,584 
320005,島根県,計,666331 ,23797 ,28095 ,29394 ,30095 ,27630 ,27099 ,29715 ,34824 ,39633 ,45189 ,41231 ,37408 ,42678 ,47729 ,59744 ,37466 ,33043 ,28863 ,16054 ,5593 ,896 
320005,島根県,男,320824 ,12214 ,14565 ,15043 ,15490 ,14299 ,14082 ,15207 ,17832 ,20386 ,23220 ,20739 ,18478 ,21296 ,23625 ,29187 ,16731 ,13177 ,9829 ,4258 ,1000 ,121 
320005,島根県,女,345507 ,11583 ,13530 ,14351 ,14605 ,13331 ,13017 ,14508 ,16992 ,19247 ,21969 ,20492 ,18930 ,21382 ,24104 ,30557 ,20735 ,19866 ,19034 ,11796 ,4593 ,775 
330001,岡山県,計,1879280 ,69839 ,79938 ,84844 ,87827 ,95510 ,90859 ,93771 ,106107 ,114979 ,141242 ,128930 ,106581 ,108563 ,116155 ,150531 ,106765 ,86652 ,63759 ,33949 ,10662 ,1724 
330001,岡山県,男,908551 ,35783 ,41037 ,43847 ,45169 ,48997 ,47050 ,47740 ,53555 ,58274 ,71297 ,64380 ,52707 ,52805 ,56707 ,70930 ,47905 ,36081 ,22718 ,9298 ,2049 ,177 
330001,岡山県,女,970729 ,34056 ,38901 ,40997 ,42658 ,46513 ,43809 ,46031 ,52552 ,56705 ,69945 ,64550 ,53874 ,55758 ,59448 ,79601 ,58860 ,50571 ,41041 ,24651 ,8613 ,1547 
340006,広島県,計,2788687 ,102331 ,120220 ,128071 ,128439 ,137388 ,134856 ,140723 ,158328 ,175025 ,215561 ,201011 ,161910 ,159583 ,170845 ,222087 ,157314 ,124678 ,87616 ,45111 ,14989 ,2562 
340006,広島県,男,1354102 ,52521 ,61428 ,65549 ,66082 ,71720 ,70484 ,73152 ,80707 ,88631 ,108999 ,100365 ,79923 ,78018 ,82798 ,104864 ,70417 ,51977 ,30991 ,12280 ,2858 ,330 
340006,広島県,女,1434585 ,49810 ,58792 ,62522 ,62357 ,65668 ,64372 ,67571 ,77621 ,86394 ,106562 ,100646 ,81987 ,81565 ,88047 ,117223 ,86897 ,72701 ,56625 ,32831 ,12131 ,2232 
350001,山口県,計,1340458 ,43587 ,52050 ,57401 ,59099 ,58758 ,54063 ,57856 ,69068 ,78064 ,96497 ,90503 ,75957 ,82162 ,94964 ,123782 ,85056 ,71907 ,52360 ,27135 ,8695 ,1467 
350001,山口県,男,638139 ,22318 ,26963 ,29237 ,30264 ,30553 ,28507 ,30316 ,34904 ,39478 ,49104 ,44401 ,36944 ,39562 ,45793 ,57546 ,37096 ,28536 ,17748 ,7154 ,1542 ,169 
350001,山口県,女,702319 ,21269 ,25087 ,28164 ,28835 ,28205 ,25556 ,27540 ,34164 ,38586 ,47393 ,46102 ,39013 ,42600 ,49171 ,66236 ,47960 ,43371 ,34612 ,19981 ,7153 ,1298 
360007,徳島県,計,726729 ,23508 ,27830 ,29667 ,31381 ,31403 ,29293 ,32756 ,39605 ,44105 ,51909 ,49106 ,43596 ,47104 ,54204 ,66991 ,40596 ,35611 ,27841 ,14842 ,4555 ,655 
360007,徳島県,男,348034 ,12057 ,14413 ,15257 ,16060 ,16025 ,15273 ,16746 ,20136 ,22487 ,25704 ,24099 ,21086 ,22737 ,26323 ,32343 ,18290 ,14533 ,9655 ,3838 ,832 ,74 
360007,徳島県,女,378695 ,11451 ,13417 ,14410 ,15321 ,15378 ,14020 ,16010 ,19469 ,21618 ,26205 ,25007 ,22510 ,24367 ,27881 ,34648 ,22306 ,21078 ,18186 ,11004 ,3723 ,581 
370002,香川県,計,964885 ,33630 ,39909 ,42757 ,44357 ,45406 ,42049 ,45795 ,53633 ,60770 ,73913 ,66403 ,54902 ,57385 ,63588 ,83930 ,53536 ,44468 ,33610 ,18089 ,5723 ,1004 
370002,香川県,男,466996 ,17141 ,20549 ,22007 ,22643 ,23716 ,21933 ,23696 ,27314 ,30808 ,37365 ,33286 ,27024 ,27970 ,30841 ,39686 ,23979 ,18544 ,12019 ,5110 ,1228 ,123 
